"","title","categories","published_year","average_rating","authors"
"4833","searching for god knows what","Religion",2004,3.92,"Donald Miller"
"4834","only the river runs free","Fiction",2003,4.09,"Bodie Thoene"
"4835","the blood of the moon","Religion",2001,3.69,"George Grant"
"4836","the guardian","Fiction",1994,3.75,"Jane Hamilton"
"4838","edgar allan poe complete tales and poems","Fiction",2009,4.38,"Edgar Allan Poe"
"4839","dazzling brightness","Fiction",1994,3.82,"Roberta Gellis"
"4840","dead of winter","Fiction",2001,3.94,"P. J. Parrish"
"4841","thicker than water","Fiction",2003,4.09,"P. J. Parrish"
"4842","samantha","Fiction",2003,3.79,"Tamara Thorne"
"4843","island of bones","Fiction",2003,4.01,"P. J. Parrish"
"4844","a killing rain","Fiction",2005,4.04,"P. J. Parrish"
"4845","an unquiet grave","Fiction",2006,4.12,"P. J. Parrish"
"4846","night lives","Fiction",2003,4.5,"Phyllis Eisenstein"
"4849","something borrowed","Fiction",1995,4.17,"Rebecca Hagan Lee"
"4851","bad dreams","Fiction",1995,3.15,"Kim Newman"
"4852","the white rhino hotel","Fiction",2000,3.94,"Bartle Bull"
"4853","a kiss before dying","Fiction",2003,3.94,"Ira Levin"
"4854","the life of sir arthur conan doyle","Biography & Autobiography",2003,4.02,"John Dickson Carr"
"4855","rape","Fiction",2003,3.56,"Joyce Carol Oates"
"4856","rape","Fiction",2004,3.56,"Joyce Carol Oates"
"4857","the mammoth book of new jules verne adventures","Fiction",2005,3.68,"Mike Ashley"
"4859","divine invasions","Biography & Autobiography",2005,4.09,"Lawrence Sutin"
"4861","the mammoth book of golden age science fiction","Fiction",2007,3.91,"Isaac Asimov"
"4862","baby einstein: neighborhood animals","Juvenile Fiction",2001,3.89,"Marilyn Singer"
"4863","baby einstein: birds","Juvenile Fiction",2002,3.78,"Julie Aigner-Clark"
"4864","baby einstein: babies","Juvenile Fiction",2002,4.03,"Julie Aigner-Clark"
"4865","baby einstein: dogs","Juvenile Fiction",2002,3.81,"Julie Aigner-Clark"
