"","title","categories","published_year","average_rating","authors"
"1831","angel fire east","Fiction",2000,4.1,"Terry Brooks"
"1832","morgawr","Fiction",2003,3.97,"Terry Brooks"
"1833","tanequil","Fiction",2005,3.98,"Terry Brooks"
"1834","the dress lodger","Fiction",2001,3.57,"Sheri Holman"
"1835","henry viii","Biography & Autobiography",2002,4.17,"Alison Weir"
"1836","the case of the curious bride","Fiction",2000,3.86,"Erle Stanley Gardner"
"1837","the courtesan","Fiction",2005,3.9,"Susan Carroll"
"1839","drowning ruth","Fiction",2001,3.74,"Christina Schwarz"
"1840","the best of lester del rey","Fiction",2000,3.8,"Lester Del Rey"
"1842","schmidt delivered","Fiction",2001,3.59,"Louis Begley"
"1843","black house","Fiction",2001,4,"Stephen King"
"1844","my movie business","Biography & Autobiography",2000,3.33,"John Irving"
"1845","the dark arena","Fiction",2001,3.35,"Mario Puzo"
"1846","the sicilian","Fiction",2001,3.96,"Mario Puzo"
"1847","time to be in earnest","Biography & Autobiography",2001,3.94,"P. D. James"
"1848","the silent gondoliers","Fiction",2001,3.8,"William Goldman"
"1849","welcome to the great mysterious","Fiction",2002,3.77,"Lorna Landvik"
"1850","while i was gone","Fiction",2000,3.68,"Sue Miller"
"1851","a stroke of midnight","Fiction",2006,4.07,"Laurell K. Hamilton"
"1852","the talisman","Fiction",2001,4.13,"Stephen King"
"1853","lights out","Fiction",2002,3.66,"Peter Abrahams"
"1854","edge of victory ii","Fiction",2001,3.77,"Greg Keyes"
"1855","death in holy orders","Fiction",2002,3.92,"P. D. James"
"1856","a chosen few","History",2002,3.87,"Mark Kurlansky"
"1857","boogaloo on 2nd avenue","Fiction",2005,3.15,"Mark Kurlansky"
"1858","star wars","Fiction",2002,3.96,"Daniel Wallace"
"1860","flinx's folly","Fiction",2004,3.94,"Alan Dean Foster"
"1861","clay's quilt","Fiction",2001,3.95,"Silas House"
"1862","sunstorm","Fiction",2006,3.83,"Arthur Charles Clarke"
"1863","the ultimate hitchhiker's guide to the galaxy","Fiction",2002,4.38,"Douglas Adams"
"1864","shadow dance","Fiction",2007,4,"Julie Garwood"
"1865","1968","History",2005,3.78,"Mark Kurlansky"
"1866","the probable future","Fiction",2004,3.83,"Alice Hoffman"
"1868","the vampire chronicles collection","Fiction",2002,4.27,"Anne Rice"
"1869","the bonesetter's daughter","Fiction",2003,3.98,"Amy Tan"
"1870","altered carbon","Fiction",2006,4.06,"Richard K. Morgan"
"1871","market forces","Fiction",2005,3.59,"Richard K. Morgan"
"1872","tales before tolkien","Fiction",2005,3.94,"Douglas A. Anderson"
"1873","body double","Fiction",2005,4.18,"Tess Girritsen"
"1874","lost and found","Fiction",2005,3.68,"Alan Dean Foster"
"1875","the light-years beneath my feet","Fiction",2006,3.73,"Alan Dean Foster"
"1876","to the last man","Fiction",2005,4.22,"Jeff Shaara"
"1877","sliding scales","Fiction",2005,3.87,"Alan Dean Foster"
"1878","running from the deity","Fiction",2006,3.8,"Alan Dean Foster"
"1879","judas unchained","Fiction",2007,4.31,"Peter F. Hamilton"
"1880","the swarm war","Fiction",2006,3.49,"Troy Denning"
"1881","yoda","Fiction",2004,3.88,"Sean Stewart"
"1882","the fourth hand","Fiction",2003,3.31,"John Irving"
"1884","saving fish from drowning","Fiction",2006,3.43,"Amy Tan"
"1885","a parchment of leaves","Fiction",2003,4.17,"Silas House"
"1886","the heritage of shannara","Fiction",2003,4.28,"Terry Brooks"
"1888","perfect nightmare","Fiction",2006,3.89,"John Saul"
"1889","the franklin affair","Fiction",2006,3.12,"Jim Lehrer"
"1890","oh my stars","Fiction",2005,3.89,"Lorna Landvik"
"1891","the chronicles of riddick","Fiction",2004,3.95,"Alan Dean Foster"
"1892","the amateur marriage","Fiction",2006,3.61,"Anne Tyler"
"1893","star wars","Fiction",2005,3.84,"James Luceno"
"1894","the guns of august","History",2004,4.18,"Barbara Wertheim Tuchman"
"1895","wish you were here","Biography & Autobiography",2005,4.14,"Nick Webb"
"1896","the fortunate pilgrim","Biography & Autobiography",2004,3.82,"Mario Puzo"
"1897","the vampire lestat","Fiction",2004,4.07,"Anne Rice"
"1898","vanish","Fiction",2006,4.12,"Tess Gerritsen"
"1899","darth bane","Fiction",2006,4.27,"Drew Karpyshyn"
"1900","star wars","Fiction",2007,3.98,"Timothy Zahn"
"1901","tempest","Fiction",2006,3.82,"Troy Denning"
"1902","star wars","Fiction",2006,4.16,"Ann Margaret Lewis"
"1903","tsubasa","Juvenile Fiction",2005,4.29,"Clamp (Mangaka Group)"
"1904","narrative of the life of frederick douglass, an american slave","Biography & Autobiography",2004,4,"Frederick Douglass"
"1905","already dead","Fiction",2005,3.79,"Charlie Huston"
"1906","no dominion","Fiction",2006,3.99,"Charlie Huston"
"1907","a slipping-down life","Fiction",1970,3.6,"Anne Tyler"
"1908","trump","Biography & Autobiography",2005,3.65,"Donald Trump"
"1909","ego & hubris","Biography & Autobiography",2006,3.65,"Harvey Pekar"
"1910","inferno","Comics & Graphic Novels",2006,3.6,"Alex Irvine"
"1911","until i find you","Fiction",2006,3.63,"John Irving"
"1912","the coal tattoo","Fiction",2005,4.04,"Silas House"
"1913","throne of jade","Fiction",2006,3.9,"Naomi Novik"
"1914","a dangerous man","Fiction",2006,4.07,"Charlie Huston"
"1915","enchantment","Fiction",2005,3.9,"Orson Scott Card"
"1916","how to be lost","Fiction",2005,3.54,"Amanda Eyre Ward"
"1917","queen of the underworld","Fiction",2007,2.89,"Gail Godwin"
"1918","jarka ruus","Fiction",2005,3.97,"Terry Brooks"
"1919","armageddon's children","Fiction",2007,4.1,"Terry Brooks"
"1921","them","Fiction",2006,3.71,"Joyce Carol Oates"
"1922","thirteen","Fiction",2007,3.89,"Richard K. Morgan"
"1925","candy licker","Fiction",2005,4.39,"Noire"
"1926","drop dead gorgeous","Fiction",2006,3.93,"Linda Howard"
"1927","the devil's labyrinth","Fiction",2007,3.46,"John Saul"
"1929","the devilish pleasures of a duke","Fiction",2007,3.98,"Jillian Hunter"
"1930","star wars republic commando","Fiction",2006,4.24,"Karen Traviss"
"1931","the manhattan hunt club","Fiction",2006,3.98,"John Saul"
"1932","the voyage of the jerle shannara trilogy","Fiction",2006,4.26,"Terry Brooks"
"1933","the plague dogs","Fiction",2006,3.85,"Richard Adams"
"1936","star trek logs five and six","Fiction",2006,3.65,"Alan Dean Foster"
"1937","logs seven and eight","Fiction",2006,3.69,"Alan Dean Foster"
"1938","the hobbit / the lord of the rings","Fiction",2012,4.59,"John Ronald Reuel Tolkien"
"1940","if this is a man ; and the truce","History",1987,4.55,"Primo Levi"
"1949","embrace","Fiction",2001,3.75,"Mark Behr"
"1957","the love artist","Fiction",1987,3.25,"Valerie Parv"
"1958","lawful possession","Fiction",1994,3.25,"Catherine George"
"1959","p.s. i love you","Fiction",1995,2.79,"Valerie Parv"
"1960","the boy in white","Fiction",1987,2.33,"Tessa Kay"
"1961","the sultan's bought bride","Fiction",2004,3.72,"Jane Porter"
"1962","a mistress for the taking","Fiction",2007,3.42,"Annie West"
"1963","sky's pride and joy","Fiction",2000,3,"Sandra Steffen"
"1964","if you don't know by now","Fiction",2001,3.06,"Teresa Southwick"
"1965","the stranger next door","Fiction",2000,4,"Joanna Wayne"
"1966","the sheik & the princess bride","Fiction",2004,3.95,"Susan Mallery"
"1967","lori's little secret","Fiction",2005,3.73,"Christine Rimmer"
"1968","burning the map","Fiction",2002,3.52,"Laura Caldwell"
"1969","slightly settled","Fiction",2004,3.66,"Wendy Markham"
"1970","monkey business","Fiction",2004,3.66,"Sarah Mlynowski"
"1971","the right stuff","Fiction",2004,3.57,"Merline Lovelace"
"1972","in dark waters","Fiction",2005,3.8,"Mary Burton"
"1973","the bluest eyes in texas","Fiction",2005,3.67,"Marilyn Pappano"
"1974","wild fire","Fiction",2006,3.85,"Debra Cowan"
"1975","the macgregors","Fiction",2006,4.11,"Nora Roberts"
"1976","dream makers","Fiction",2006,3.81,"Nora Roberts"
"1977","rebellion","Fiction",2006,3.91,"Nora Roberts"
"1978","the gunslinger","Fiction",1995,4.12,"Mary Mcbride"
"1979","lady of the lake","Fiction",1997,3.26,"Elizabeth Mayne"
"1980","the gunslinger's bride","Fiction",2001,3.66,"Cheryl St. John"
"1981","tallchief for keeps","Fiction",1997,4.22,"Cait London"
"1983","first impressions","Fiction",1992,3.74,"Nora Roberts"
"1984","year's happy ending","Fiction",2001,3.95,"Betty Neels"
"1985","double-cross","Fiction",2004,3.72,"Meredith Fletcher"
"1986","father to son","Fiction",2002,4.1,"Warren Murphy"
"1987","savage sun","Fiction",1997,3.87,"James Axler"
"1988","omega path","Fiction",1998,3.87,"James Axler"
"1989","hydra's ring","Fiction",2006,3.88,"James Axler"
"1990","her last temptation","Fiction",2005,3.59,"Leslie Kelly"
"1991","her little secret","Fiction",2005,3.3,"Anna Adams"
"1992","expectant father","Fiction",2005,3.63,"Melinda Curtis"
"1993","the other woman","Fiction",2006,4.11,"Brenda Novak"
"1994","the accidental bodyguard","Fiction",1996,3.32,"Ann Major"
"1995","tallchief","Fiction",2002,4.12,"Cait London"
"1996","dr. desirable","Fiction",2002,3.24,"Kristi Gold"
"1997","blame it on the blackout","Fiction",2005,3.49,"Heidi Betts"
"1998","bedded then wed","Fiction",2006,3.41,"Heidi Betts"
"1999","blackmailed into bed","Fiction",2007,3.38,"Heidi Betts"
"2000","tell me no lies","Fiction",2006,3.98,"Elizabeth Lowell"
"2001","a lady at last","Fiction",2006,4.07,"Brenda Joyce"
"2002","the pirate, the adventurer & the cowboy","Fiction",2006,3.87,"Jayne Ann Krentz"
"2003","call after midnight & under the knife","Fiction",2006,4,"Tess Gerritsen"
"2004","manhunting","Fiction",1993,3.77,"Jennifer Crusie"
"2005","reckless love","Fiction",2007,3.78,"Elizabeth Lowell"
"2006","the perfect score","Fiction",2006,3.25,"Julie Kenner"
"2007","elphame's choice","Fiction",2004,4.02,"P. C. Cast"
"2008","winter moon","Fiction",2005,3.78,"Mercedes Lackey"
"2009","brighid's quest","Fiction",2005,4.14,"P. C. Cast"
"2010","shattered dance","Fiction",2006,3.91,"Caitlin Brennan"
"2011","sizzle","Fiction",1994,3.09,"Jennifer Crusie"
"2012","the foundling","Fiction",2003,3.85,"Georgette Heyer"
"2013","sylvester","Fiction",2004,4.11,"Georgette Heyer"
"2014","and the envelope, please...","Fiction",2006,3.57,"Barbara Bretton"
"2015","suddenly daddy","Fiction",1998,3.81,"Loree Lough"
"2016","seven sunny days","Fiction",2005,3.32,"Chris Manby"
"2018","the echo maker","Fiction",2006,3.37,"Richard Powers"
"2019","that same flower","Fiction",1998,3.67,"Jostein Gaarder"
"2020","sylvia","Fiction",2007,3.86,"Leonard Michaels"
"2023","the discomfort zone","Biography & Autobiography",2006,3.39,"Jonathan Franzen"
"2024","everything on a waffle","Juvenile Fiction",2004,3.71,"Polly Horvath"
"2025","gimpel the fool and other stories","Fiction",1988,4.16,"Isaac Bashevis Singer"
"2026","the natural","Fiction",1952,3.63,"Bernard Malamud"
"2027","the slave","Fiction",1988,4.17,"Isaac Bashevis Singer"
"2029","sammlung","Fiction",1982,4.37,"Isaac Bashevis Singer"
"2030","heirs of general practice","Biography & Autobiography",1986,4.15,"John Mcphee"
"2032","the death of artemio cruz","Fiction",1991,3.86,"Carlos Fuentes"
"2035","satan in goray","Fiction",1996,3.86,"Isaac Bashevis Singer"
"2036","the stories (so far) of deborah eisenberg","Fiction",1997,4,"Deborah Eisenberg"
"2039","the artist of the missing","Fiction",1999,3.58,"Paul Lafarge"
"2040","the magic barrel","Fiction",2003,4,"Bernard Malamud"
"2042","the oresteia of aeschylus","Drama",2000,4.01,"Aeschylus"
"2043","the brothers karamazov","Fiction",2002,4.32,"Fyodor Dostoevsky"
"2046","crescent and star","History",2002,3.83,"Stephen Kinzer"
"2047","memoirs of hadrian","Fiction",2005,4.25,"Marguerite Yourcenar"
"2048","the fixer","Fiction",2004,3.95,"Bernard Malamud"
"2050","play it as it lays","Fiction",2005,3.87,"Joan Didion"
"2051","gimpel the fool","Fiction",1957,4.16,"Isaac Bashevis Singer"
"2052","martin and john","Fiction",2006,3.73,"Dale Peck"
"2054","palm-of-the-hand stories","Fiction",2006,4,"Yasunari Kawabata"
"2055","sophie's world","Fiction",2007,3.91,"Jostein Gaarder"
"2057","molloy","Fiction",1997,4.28,"Samuel Beckett"
"2058","the border trilogy","Fiction",1999,4.43,"Cormac Mccarthy"
"2059","ralph ellison","Biography & Autobiography",2007,4.14,"Arnold Rampersad"
"2060","collected shorter fiction","Fiction",2001,4.42,"Graf Leo Tolstoy"
"2063","on late style","Literary Criticism",2006,3.92,"Edward W. Sa<U+00EF>d"
"2066","black hole","Comics & Graphic Novels",2005,3.83,"Charles Burns"
"2067","the heart of a woman","Biography & Autobiography",1997,4.2,"Maya Angelou"
"2071","as she climbed across the table","Fiction",1998,3.67,"Jonathan Lethem"
"2072","evening","Fiction",1999,3.36,"Susan Minot"
"2073","the executioner's song","Fiction",1998,4.07,"Norman Mailer"
"2074","virginia woolf","Biography & Autobiography",1999,4.26,"Hermione Lee"
"2077","the amen corner","Drama",1998,3.9,"James Baldwin"
"2078","tell me how long the train's been gone","Fiction",1998,4.25,"James Baldwin"
"2079","the moviegoer","Fiction",1998,3.69,"Walker Percy"
"2080","the world and other places","Fiction",2000,3.87,"Jeanette Winterson"
"2081","melville","Biography & Autobiography",2006,4.03,"Andrew Delbanco"
"2082","a virtuous woman","Fiction",1997,3.68,"Kaye Gibbons"
"2084","glamorama","Fiction",2000,3.47,"Bret Easton Ellis"
"2086","the autograph man","Fiction",2003,3.15,"Zadie Smith"
"2088","sons of mississippi","Biography & Autobiography",2004,3.81,"Paul Hendrickson"
"2089","for the relief of unbearable urges","Fiction",2000,3.94,"Nathan Englander"
"2090","breath, eyes, memory","Fiction",1998,3.87,"Edwidge Danticat"
"2091","founding brothers","Biography & Autobiography",2002,3.92,"Joseph J. Ellis"
"2092","the tiny one","Fiction",2000,3.67,"Eliza Minot"
"2093","crucible of war","History",2000,4.15,"Fred Anderson"
"2094","no country for old men","Fiction",2006,4.13,"Cormac Mccarthy"
"2095","i married a communist","Fiction",1999,3.8,"Philip Roth"
"2096","lives of girls and women","Fiction",2001,3.99,"Alice Munro"
"2098","masters of death","History",2003,4.05,"Richard Rhodes"
"2100","de kooning","Biography & Autobiography",2006,4.11,"Mark Stevens"
"2101","geek love","Fiction",2002,3.96,"Katherine Dunn"
"2107","good-bye, chunky rice","Comics & Graphic Novels",2006,3.8,"Craig Thompson"
"2108","the adolescent","Fiction",2004,3.94,"Fyodor Dostoyevsky"
"2109","the double and the gambler","Fiction",2007,4.15,"Fyodor Mikhailovich Dostoevsky"
"2110","anil's ghost","Fiction",2001,3.56,"Michael Ondaatje"
"2112","ghostwritten","Fiction",2001,4.06,"David Mitchell"
"2113","theatre","Fiction",2001,4.14,"William Somerset Maugham"
"2114","the bridegroom","Fiction",2001,3.76,"Ha Jin"
"2116","elect mr. robinson for a better world","Fiction",1993,3.67,"Donald Antrim"
"2118","shroud","Fiction",2004,3.65,"John Banville"
"2119","acts of faith","Fiction",2006,3.93,"Philip Caputo"
"2121","the box man","Fiction",2001,3.65,"K<U+014D>b<U+014D> Abe"
"2122","the ruined map","Fiction",2001,3.56,"K<U+014D>b<U+014D> Abe"
"2123","the face of another","Fiction",2003,3.77,"Kobo Abe"
"2124","a coffin for dimitrios","Fiction",2001,3.92,"Eric Ambler"
"2125","journey into fear","Fiction",2002,3.92,"Eric Ambler"
"2126","the light of day","Fiction",2004,3.74,"Eric Ambler"
"2127","julian","Fiction",2003,4.19,"Gore Vidal"
"2128","the dive from clausen's pier","Fiction",2003,3.42,"Ann Packer"
"2129","lunar park","Fiction",2006,3.62,"Bret Easton Ellis"
"2130","salonica, city of ghosts","History",2006,4.25,"Mark Mazower"
"2131","world light","Fiction",2002,4.13,"Halld<U+00F3>r Laxness"
"2132","paradise reclaimed","Fiction",2002,3.79,"Halldor Kiljan Laxness"
"2133","the picture of dorian gray","Fiction",1998,4.07,"Oscar Wilde"
"2135","in search of lost time volume iii the guermantes way","Fiction",1998,4.31,"Marcel Proust"
"2137","sodom and gomorrah","Fiction",1992,4.36,"Marcel Proust"
"2141","pipe dream","Fiction",2001,3.98,"Solomon Jones"
"2142","great expectations","Fiction",2001,3.76,"Charles Dickens"
"2143","the return of the native","Fiction",1994,3.85,"Thomas Hardy"
"2144","ethan frome & summer","Fiction",2001,3.86,"Edith Wharton"
"2145","the basic works of aristotle","Philosophy",2001,4.24,"Aristotle"
"2146","paris to the moon","Biography & Autobiography",2001,3.76,"Adam Gopnik"
"2147","comfort me with apples","Biography & Autobiography",2002,4.03,"Ruth Reichl"
"2148","little dorrit","Fiction",2002,3.98,"Charles Dickens"
"2149","crossing to safety","Fiction",2002,4.16,"Wallace Stegner"
"2152","daniel deronda","Fiction",1876,3.83,"George Eliot"
"2154","paris 1919","History",2002,4.07,"Margaret Macmillan"
"2155","war and peace","Fiction",2002,4.11,"Graf Leo Tolstoy"
"2156","savage beauty","Biography & Autobiography",2002,4.01,"Nancy Milford"
"2157","the survivor","History",2006,4.01,"John F. Harris"
"2161","jurassic park institute dinosaur field guide","Juvenile Nonfiction",2001,4.08,"Thomas R. Holtz"
"2162","the school skeleton","Juvenile Fiction",2003,3.99,"Ron Roy"
"2163","love, stargirl","Juvenile Fiction",2007,3.82,"Jerry Spinelli"
"2164","terrier","Juvenile Fiction",2006,4.16,"Tamora Pierce"
"2166","junie b., first grader","Juvenile Fiction",2003,4.03,"Barbara Park"
"2167","ancient greece and the olympics","Juvenile Nonfiction",2004,4.06,"Mary Pope Osborne"
"2168","moose master","Juvenile Fiction",2004,4.08,"George Edward Stanley"
"2169","code word kangaroo","Juvenile Fiction",2004,4.33,"George Edward Stanley"
"2170","the easter rabbit's parade","Juvenile Fiction",2004,2.97,"Lois Lenski"
"2171","the people of sparks","Juvenile Fiction",2005,3.66,"Jeanne Duprau"
"2172","young warriors","Juvenile Fiction",2005,3.91,"Tamora Pierce"
"2173","ancient rome and pompeii","Juvenile Nonfiction",2006,4.07,"Mary Pope Osborne"
"2174","tsunamis and other natural disasters","Juvenile Nonfiction",2007,4.04,"Mary Pope Osborne"
"2175","nick and norah's infinite playlist","Juvenile Fiction",2006,3.72,"Rachel Cohn"
"2176","toys go out","Juvenile Fiction",2006,3.93,"Emily Jenkins"
"2177","the realm of possibility","Juvenile Fiction",2006,3.93,"David Levithan"
"2178","mayflower treasure hunt","Juvenile Fiction",2007,4.18,"Ron Roy"
"2179","are we there yet?","Juvenile Fiction",2007,3.5,"David Levithan"
"2180","naomi and ely's no kiss list","Juvenile Fiction",2007,3.44,"Rachel Cohn"
"2181","the amber spyglass","Juvenile Fiction",2007,4.09,"Philip Pullman"
"2182","ox","Fiction",1976,3.43,"Piers Anthony"
"2183","laura","Biography & Autobiography",1977,4.11,"Donald Zochert"
"2184","chaining the lady","Fiction",1978,3.64,"Piers Anthony"
"2185","a twist of lennon","Biography & Autobiography",1980,3.84,"Cynthia Lennon"
"2187","boy who turned into a tv set","Juvenile Fiction",1983,4,"Stephen Manes"
"2188","100 great fantasy short short stories","Fiction",1985,3.95,"Isaac Asimov"
"2189","stephen hawking's universe","Biography & Autobiography",1989,4.04,"John Boslough"
"2190","the grass crown","Fiction",1992,4.29,"Colleen Mccullough"
"2191","caesar's women","Fiction",1997,4.24,"Colleen Mccullough"
"2192","tim","Fiction",1990,3.81,"Colleen Mccullough"
"2196","lucie babbidge's house","Juvenile Fiction",1993,3.75,"Sylvia Cassedy"
"2198","shadow of a dark queen","Fiction",1995,4.04,"Raymond E. Feist"
"2199","the death of an irish sea wolf","Fiction",1997,3.74,"Bartholomew Gill"
"2201","prayers for rain","Fiction",2000,4.09,"Dennis Lehane"
"2202","devil may care","Fiction",1977,3.87,"Elizabeth Peters"
"2203","street of the five moons","Fiction",2000,3.94,"Elizabeth Peters"
"2204","summer of the dragon","Fiction",2001,3.92,"Elizabeth Peters"
"2205","wayside school is falling down (rack)","Juvenile Fiction",1998,4.17,"Louis Sachar"
"2206","shutter island","Fiction",2004,4.09,"Dennis Lehane"
"2207","the deeds of the disturber","Fiction",2000,4.05,"Elizabeth Peters"
"2208","killing time","Fiction",1998,3.97,"Cynthia Harrod-Eagles"
"2209","anne frank","Juvenile Nonfiction",1999,3.99,"Johanna Hurwitz"
"2210","silver nights","Fiction",2001,3.53,"Jane Feather"
"2211","xanth 15: the color of her panties","Fiction",1992,3.67,"Piers Anthony"
"2212","firefly","Fiction",1992,3.27,"Piers Anthony"
"2213","only mine","Fiction",1992,3.93,"Elizabeth Lowell"
"2214","neon lit:city of glass","Fiction",1994,3.92,"Bob Callahan"
"2215","to love a dark lord","Fiction",1994,3.83,"Anne Stuart"
"2216","runaway bride","Fiction",1994,4.25,"Deborah Gordon"
"2217","the night remembers","Fiction",1998,3.79,"Kathleen Eagle"
"2218","smoke and mirrors","Fiction",2005,4.05,"Neil Gaiman"
"2219","shards of a broken crown","Fiction",1999,4.01,"Raymond E. Feist"
"2220","sins of a shaker summer","Fiction",1999,3.5,"Deborah Woodworth"
"2221","regarding the fountain","Juvenile Fiction",1999,4.2,"Kate Klise"
"2222","what looks like crazy on an ordinary day","Fiction",1998,3.72,"Pearl Cleage"
"2223","exile's return","Fiction",2006,4.02,"Raymond E. Feist"
"2224","the great book of amber","Fiction",1999,4.3,"Roger Zelazny"
"2225","the wolves in the walls","Juvenile Fiction",2005,4.07,"Neil Gaiman"
"2226","lamb","Fiction",2003,4.26,"Christopher Moore"
"2227","the body in the lighthouse","Fiction",2004,3.68,"Katherine Hall Page"
"2228","the nightingale's song","Fiction",2001,3.8,"Kathleen Eschenburg"
"2230","olympos","Fiction",2006,3.94,"Dan Simmons"
"2231","the marriage lesson","Fiction",2001,3.9,"Victoria Alexander"
"2232","first comes love","Fiction",2002,3.81,"Christie Ridgway"
"2234","love poems and sonnets of william shakespeare","Drama",1991,4.34,"William Shakespeare"
"2237","complete stories and poems of edgar allan poe","Fiction",1966,4.38,"Edgar Allan Poe"
"2239","a man of the people","Fiction",1966,3.87,"Chinua Achebe"
"2240","saint thomas of aquinas","Religion",1956,4.15,"Gilbert Keith Chesterton"
"2241","the birth of tragedy and the genealogy of morals","Philosophy",1956,4,"Friedrich Wilhelm Nietzsche"
"2242","plagues and peoples","History",1998,3.9,"William Hardy Mcneill"
"2243","night shift","Fiction",1978,3.99,"Stephen King"
"2244","the complete fairy tales and stories","Fiction",1983,4.28,"Andersen, H. C. (Hans Christian)"
"2245","the king's buccaneer","Fiction",1992,4.01,"Raymond E. Feist"
"2246","trials of tears","History",1989,4.15,"John Ehle"
"2247","lost in the funhouse","Fiction",1988,3.71,"John Barth"
"2248","the beginning and the end","Fiction",1989,4.07,"Naguib Mahfouz"
"2249","children of the alley","Fiction",1996,4.1,"Naj<U+012B>b Ma<U+1E25>f<U+016B><U+1E93>"
"2250","the book of ruth","Fiction",1990,3.84,"Jane Hamilton"
"2251","dragonfly in amber","Fiction",1992,4.32,"Diana Gabaldon"
"2252","rain of gold","Biography & Autobiography",1992,4.48,"Victor Villase<U+00F1>or"
"2253","the last lion","Biography & Autobiography",1984,4.43,"William Manchester"
"2254","shakespeare a to z","Drama",1991,4.35,"Charles Boyce"
"2255","the sixteen pleasures","Fiction",1995,3.58,"Robert Hellenga"
"2257","running from safety","Biography & Autobiography",1995,3.79,"Richard Bach"
"2258","follow your heart","Fiction",1995,3.57,"Susanna Tamaro"
"2259","there's no such place as far away","Fiction",1998,3.93,"Richard Bach"
"2260","brian's winter","Juvenile Fiction",1996,4.01,"Gary Paulsen"
"2261","the outlandish companion","Literary Criticism",1999,4.07,"Diana Gabaldon"
"2263","black and blue","Fiction",2000,3.88,"Anna Quindlen"
"2264","god bless you, mr. rosewater","Fiction",1998,3.96,"Kurt Vonnegut"
"2265","welcome to the monkey house","Fiction",1968,4.14,"Kurt Vonnegut"
"2266","bluebeard","Fiction",1998,4.03,"Kurt Vonnegut"
"2267","king rat","Fiction",1999,4.13,"James Clavell"
"2268","player piano","Fiction",1999,3.87,"Kurt Vonnegut"
"2269","wampeters, foma & granfalloons (opinions)","Fiction",2006,3.78,"Kurt Vonnegut"
"2270","galapagos: a novel","Fiction",1999,3.87,"Kurt Vonnegut"
"2271","jailbird","Fiction",1999,3.81,"Kurt Vonnegut"
"2272","deadeye dick","Fiction",1999,3.81,"Kurt Vonnegut"
"2273","slapstick","Fiction",1999,3.87,"Kurt Vonnegut"
"2274","palm sunday","Biography & Autobiography",1999,3.77,"Kurt Vonnegut"
"2277","the midwife's tale","Fiction",2004,3.82,"Gretchen Moran Laskas"
"2278","kissing in manhattan","Fiction",2002,3.61,"David Schickler"
"2279","dragonfly in amber","Fiction",2001,4.32,"Diana Gabaldon"
"2280","voyager","Fiction",2001,4.39,"Diana Gabaldon"
"2281","intuition","Fiction",2007,3.33,"Allegra Goodman"
"2282","the cloud atlas","Fiction",2004,3.37,"Liam Callanan"
"2283","coming of age in mississippi","Biography & Autobiography",1968,4.13,"Anne Moody"
"2284","a painted house","Fiction",2004,3.69,"John Grisham"
"2285","lucifer's shadow","Fiction",2005,3.58,"David Hewson"
"2286","the client","Fiction",2005,3.99,"John Grisham"
"2287","the street lawyer","Fiction",2005,3.83,"John Grisham"
"2288","the summons","Fiction",2005,3.69,"John Grisham"
"2289","the rainmaker","Fiction",2005,3.93,"John Grisham"
"2290","the king of torts","Fiction",2005,3.67,"John Grisham"
"2291","the chamber","Fiction",2005,3.78,"John Grisham"
"2292","the brethren","Fiction",2005,3.73,"John Grisham"
"2293","the runaway jury","Fiction",2006,3.97,"John Grisham"
"2294","the pelican brief","Fiction",2006,3.98,"John Grisham"
"2295","a breath of snow and ashes","Fiction",2006,4.44,"Diana Gabaldon"
"2296","the golden tulip","Fiction",1991,3.92,"Rosalind Laker"
"2298","how the irish saved civilization","History",1996,3.81,"Thomas Cahill"
"2299","the power of myth","Philosophy",1991,4.3,"Joseph Campbell"
"2301","on the origins of war and the preservation of peace","History",1996,4.01,"Donald Kagan"
"2302","texas! trilogy","Fiction",1992,4.28,"Sandra Brown"
"2303","history of philosophy","Philosophy",1993,4.08,"Frederick Charles Copleston"
"2304","obasan","Fiction",1994,3.63,"Joy Kogawa"
"2305","a history of philosophy","Philosophy",1965,4.17,"Frederick Charles Copleston"
"2306","history of philosophy","Philosophy",1994,4.22,"Frederick Charles Copleston"
"2307","like water for chocolate","Fiction",1994,3.94,"Laura Esquivel"
"2308","youth in revolt","Fiction",1996,4.02,"C. D. Payne"
"2309","marie antoinette","Biography & Autobiography",2001,3.92,"Antonia Fraser"
"2310","sister of my heart","Fiction",2000,3.98,"Chitra Banerjee Divakaruni"
"2312","the handmaid's tale","Fiction",1998,4.09,"Margaret Atwood"
"2313","the robber bride","Fiction",1998,3.83,"Margaret Atwood"
"2314","surfacing","Fiction",1998,3.46,"Margaret Atwood"
"2315","lady oracle","Fiction",1998,3.68,"Margaret Atwood"
"2316","the girl in the flammable skirt","Fiction",1999,3.88,"Aimee Bender"
"2317","an invisible sign of my own","Fiction",2001,3.68,"Aimee Bender"
"2319","into thin air","Biography & Autobiography",1999,4.15,"Jon Krakauer"
"2322","the code book","History",2000,4.31,"Simon Singh"
"2323","sailing the wine-dark sea","History",2004,3.77,"Thomas Cahill"
"2324","traveling mercies","Biography & Autobiography",2000,4.16,"Anne Lamott"
"2325","thumbsucker","Fiction",1999,3.43,"Walter Kirn"
"2327","d. b.","Fiction",2005,3.26,"Elwood Reid"
"2328","moral disorder","Fiction",2006,3.63,"Margaret Atwood"
"2330","the da vinci code","Fiction",2003,3.82,"Dan Brown"
"2331","the diary of anne frank","History",2003,4.13,"Anne Frank"
